Ref,Val,Package,PosX,PosY,Rot,Side
"C6","470u","CP_Radial_D35.0mm_P10.00mm_SnapIn",-172.000000,-123.069501,-90.000000,bottom
"C7","470u","CP_Radial_D35.0mm_P10.00mm_SnapIn",-136.000000,-123.000000,-90.000000,bottom
"J4","Conn_01x03_Female","PinSocket_1x03_P2.54mm_Vertical",-174.425000,-106.570000,0.000000,bottom
